127.0.0.1 - - [10/Apr/2023:05:22:24 +0200] "GET / HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [10/Apr/2023:05:22:25 +0200] "GET /test/ContactsServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Apr/2023:05:22:25 +0200] "GET /test/SignIn HTTP/1.1" 200 11785
0:0:0:0:0:0:0:1 - - [10/Apr/2023:05:22:25 +0200] "GET /test/resources/css/login.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2023:05:22:26 +0200] "GET /favicon.ico HTTP/1.1" 404 692
0:0:0:0:0:0:0:1 - - [10/Apr/2023:05:22:31 +0200] "POST /test/SignIn HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Apr/2023:05:22:31 +0200] "GET /test/ContactsServlet HTTP/1.1" 200 13190
0:0:0:0:0:0:0:1 - - [10/Apr/2023:05:22:32 +0200] "-" 400 1905
0:0:0:0:0:0:0:1 - - [10/Apr/2023:05:22:32 +0200] "-" 400 1905
0:0:0:0:0:0:0:1 - - [10/Apr/2023:05:22:32 +0200] "GET /test/javascript/users.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [10/Apr/2023:05:22:32 +0200] "GET /test/ImageProfileServlet HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2023:05:22:32 +0200] "GET /test/BackgroundServlet HTTP/1.1" 304 -
