127.0.0.1 - - [28/Oct/2023:22:00:26 +0100] "GET / HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:02:46 +0100] "GET /test/SignIn HTTP/1.1" 200 11785
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:02:47 +0100] "GET /test/resources/css/login.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:02:48 +0100] "GET /favicon.ico HTTP/1.1" 404 692
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:02:54 +0100] "POST /test/SignIn HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:02:55 +0100] "GET /test/ContactsServlet HTTP/1.1" 200 13190
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:02:55 +0100] "GET /test/javascript/users.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:02:55 +0100] "-" 400 1905
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:02:55 +0100] "-" 400 1905
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:02:55 +0100] "GET /test/ImageProfileServlet HTTP/1.1" 200 91093
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:02:57 +0100] "GET /test/BackgroundServlet HTTP/1.1" 200 281023
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:03:16 +0100] "GET /test/ContactsServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:03:16 +0100] "GET /test/SignIn HTTP/1.1" 200 11785
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:03:16 +0100] "GET /test/resources/css/login.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:03:16 +0100] "GET /favicon.ico HTTP/1.1" 404 692
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:03:20 +0100] "POST /test/SignIn HTTP/1.1" 200 11852
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:03:20 +0100] "GET /test/resources/css/login.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:03:24 +0100] "POST /test/SignIn HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:03:24 +0100] "GET /test/ContactsServlet HTTP/1.1" 200 13191
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:03:24 +0100] "-" 400 1905
0:0:0:0:0:0:0:1 - - [28/Oct/2023:22:03:24 +0100] "-" 400 1905
